i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
341,genetic,None,"252,492,290,118,405,653,358,503,53,50,303,25,11,566,121,69,178,648,78,407,404,177,351,179,578,152,197,24,446,410,125,174","252,492,290,118,405,653,358,503,53,50,303,25,11,566,121,69,178,648,78,407,404,177,351,179,578,152,197,25,446,410,125,174",None,1,None,None,172.596,None,None,None,None,456,351,None,0,None,"456,351,197,279,24","351,456,197,174,515",None,0.446,None,"456,351,197,279,24,137,132,174,26,404","351,456,197,174,515,705,1162,279,132,446",None,0.344,None,"456,351,197,279,24,137,132,174,26,404,87,349,746,446,578,705,648,1162,532,179","351,456,197,174,515,705,1162,279,132,446,191,26,177,349,1137,137,676,414,746,125",None,0.269,None,"(None, 10, 0)",None,None,"252,492,290,118,405,653,358,503,53,50,303,25,11,566,121,69,178,648,78,407,404,177,351,179,578,152,197,24,446,410,125,174","252,492,290,118,405,653,358,503,53,50,303,25,11,566,121,69,178,648,78,407,404,177,351,179,578,152,197,24,446,410,125,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_252,sync_492,sync_290,sync_118,sync_405,sync_653,sync_358,sync_503,sync_53,sync_50,sync_303,sync_25,sync_11,sync_566,sync_121,sync_69,sync_178,sync_648,sync_78,sync_407,sync_404,sync_177,sync_351,sync_179,sync_578,sync_152,sync_197,sync_24,sync_446,sync_410,sync_125,add_94,del_174",1,None,None,None,300.026,None,79,351,None,0,"79,175,100,102,201","351,456,197,174,515",None,0.0,"79,175,100,102,201,624,58,510,450,240","351,456,197,174,515,705,1162,279,132,446",None,0.0,"79,175,100,102,201,624,58,510,450,240,255,231,248,192,409,639,322,27,67,658","351,456,197,174,515,705,1162,279,132,446,191,26,177,349,1137,137,676,414,746,125",None,0.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
342,genetic,None,"137,1295,491,410,104,60,1035,589,1077,763,1094,279,225,404,98,782,1037,1552,771,1011,393,453,179,856,69,862,648,863,488,11,323,337,524,351,307,234,168,919,182,174,107,229,526,191,417,26,456,177,118,1179","137,1295,491,410,104,60,1035,589,1077,763,1094,279,225,404,98,782,1037,1552,771,1011,393,453,179,856,69,862,648,863,488,11,323,337,524,351,307,234,168,919,182,174,107,229,526,1191,417,26,456,177,118,1179",None,1,None,None,188.979,None,None,None,None,127,511,None,0,None,"127,511,770,732,707","511,127,770,732,707",None,0.723,None,"127,511,770,732,707,1137,465,446,247,1448","511,127,770,732,707,465,446,444,281,1092",None,0.545,None,"127,511,770,732,707,1137,465,446,247,1448,444,515,174,281,351,53,1092,487,567,631","511,127,770,732,707,465,446,444,281,1092,1137,2,351,174,247,290,488,515,491,1448",None,0.425,None,"(None, 10, 0)",None,None,"137,1295,491,410,104,60,1035,589,1077,763,1094,279,225,404,98,782,1037,1552,771,1011,393,453,179,856,69,862,648,863,488,11,323,337,524,351,307,234,168,919,182,174,107,229,526,191,417,26,456,177,118,1179","137,1295,491,410,104,60,1035,589,1077,763,1094,279,225,404,98,782,1037,1552,771,1011,393,453,179,856,69,862,648,863,488,11,323,337,524,351,307,234,168,919,182,174,107,229,526,191,417,26,456,177,118,1","sync_137,sync_1295,sync_491,sync_410,sync_104,sync_60,sync_1035,sync_589,sync_1077,sync_763,sync_1094,sync_279,sync_225,sync_404,sync_98,sync_782,sync_1037,sync_1552,sync_771,sync_1011,sync_393,sync_453,sync_179,sync_856,sync_69,sync_862,sync_648,sync_863,sync_488,sync_11,sync_323,sync_337,sync_524,sync_351,sync_307,sync_234,sync_168,sync_919,sync_182,sync_174,sync_107,sync_229,sync_526,sync_191,sync_417,sync_26,sync_456,sync_177,sync_118,add_1,del_1179",1,None,None,None,90.819,None,290,511,None,0,"290,281,2,752,145","511,127,770,732,707",None,0.0,"290,281,2,752,145,61,1183,1003,99,326","511,127,770,732,707,465,446,444,281,1092",None,0.008,"290,281,2,752,145,61,1183,1003,99,326,190,1,732,53,118,59,453,41,140,358","511,127,770,732,707,465,446,444,281,1092,1137,2,351,174,247,290,488,515,491,1448",None,0.017,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
343,genetic,None,"55,66,77,254,438,376,540,250,759,370,83,418,198,544,979,1261,459,528,477,308,367,551,194,779,9,34,550,227,948,650,835,608,364,193,469,395,114,155,62,315,618,514,1041,143,1006,656,778,169,1074,43","54,66,77,254,438,376,540,250,759,370,83,418,198,544,979,1261,459,528,477,308,367,551,194,779,9,34,550,227,948,650,835,608,364,193,469,395,114,155,62,315,618,514,1041,143,1006,656,778,169,1074,43",None,1,None,None,214.816,None,None,None,None,438,886,None,0,None,"438,605,886,422,169","886,85,605,595,530",None,0.198,None,"438,605,886,422,169,879,530,254,1041,833","886,85,605,595,530,233,438,879,51,43",None,0.19,None,"438,605,886,422,169,879,530,254,1041,833,1087,143,595,233,478,528,1027,51,85,832","886,85,605,595,530,233,438,879,51,43,422,216,1165,878,169,821,478,710,253,310",None,0.163,None,"(None, 10, 0)",None,None,"55,66,77,254,438,376,540,250,759,370,83,418,198,544,979,1261,459,528,477,308,367,551,194,779,9,34,550,227,948,650,835,608,364,193,469,395,114,155,62,315,618,514,1041,143,1006,656,778,169,1074,43","55,66,77,254,438,376,540,250,759,370,83,418,198,544,979,1261,459,528,477,308,367,551,194,779,9,34,550,227,948,650,835,608,364,193,469,395,114,155,62,315,618,514,1041,143,1006,656,778,169,1074,22","sync_55,sync_66,sync_77,sync_254,sync_438,sync_376,sync_540,sync_250,sync_759,sync_370,sync_83,sync_418,sync_198,sync_544,sync_979,sync_1261,sync_459,sync_528,sync_477,sync_308,sync_367,sync_551,sync_194,sync_779,sync_9,sync_34,sync_550,sync_227,sync_948,sync_650,sync_835,sync_608,sync_364,sync_193,sync_469,sync_395,sync_114,sync_155,sync_62,sync_315,sync_618,sync_514,sync_1041,sync_143,sync_1006,sync_656,sync_778,sync_169,sync_1074,add_22,del_43",1,None,None,None,67.196,None,85,886,None,0,"85,1050,704,481,551","886,85,605,595,530",None,0.107,"85,1050,704,481,551,510,51,136,886,310","886,85,605,595,530,233,438,879,51,43",None,0.116,"85,1050,704,481,551,510,51,136,886,310,425,284,557,180,1029,530,248,821,43,4","886,85,605,595,530,233,438,879,51,43,422,216,1165,878,169,821,478,710,253,310",None,0.098,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
344,genetic,None,"793,389,526,304,557,1337,56,435,779,283,848,866,917,468,469,107,946,765,446,182,561,168,329,174,1113,1213,337,38,895,1308,679,970,201,983,54,863,100,58,239,661,261,731,889,741,67,321,538,101,503,548","793,389,526,304,557,1337,56,435,779,283,848,866,917,468,469,107,946,765,446,182,546,168,329,174,1113,1213,337,38,895,1308,679,970,201,983,54,863,100,58,239,661,261,731,889,741,67,321,538,101,503,548",None,1,None,None,208.373,None,None,None,None,755,636,None,0,None,"755,636,741,119,391","636,741,755,889,119",None,0.399,None,"755,636,741,119,391,889,240,437,409,572","636,741,755,889,119,391,240,409,437,572",None,0.534,None,"755,636,741,119,391,889,240,437,409,572,731,441,276,506,63,1152,360,966,548,321","636,741,755,889,119,391,240,409,437,572,360,731,1152,319,63,441,455,33,316,548",None,0.438,None,"(None, 10, 0)",None,None,"793,389,526,304,557,1337,56,435,779,283,848,866,917,468,469,107,946,765,446,182,561,168,329,174,1113,1213,337,38,895,1308,679,970,201,983,54,863,100,58,239,661,261,731,889,741,67,321,538,101,503,548","793,389,526,304,557,1337,56,435,779,283,848,866,917,468,469,107,946,765,446,182,561,168,329,174,1113,1213,337,38,895,1308,679,970,201,983,54,863,100,58,239,661,261,731,889,741,67,321,538,101,503,110","sync_793,sync_389,sync_526,sync_304,sync_557,sync_1337,sync_56,sync_435,sync_779,sync_283,sync_848,sync_866,sync_917,sync_468,sync_469,sync_107,sync_946,sync_765,sync_446,sync_182,sync_561,sync_168,sync_329,sync_174,sync_1113,sync_1213,sync_337,sync_38,sync_895,sync_1308,sync_679,sync_970,sync_201,sync_983,sync_54,sync_863,sync_100,sync_58,sync_239,sync_661,sync_261,sync_731,sync_889,sync_741,sync_67,sync_321,sync_538,sync_101,sync_503,add_110,del_548",1,None,None,None,91.158,None,741,636,None,0,"741,889,548,409,950","636,741,755,889,119",None,0.156,"741,889,548,409,950,391,501,1152,636,240","636,741,755,889,119,391,240,409,437,572",None,0.236,"741,889,548,409,950,391,501,1152,636,240,319,360,119,138,1358,186,865,572,731,162","636,741,755,889,119,391,240,409,437,572,360,731,1152,319,63,441,455,33,316,548",None,0.205,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
345,genetic,None,"41,176,96,569,50,134,13,190,25,358,90,874,78,210,433,189,553,407,59,149,351,53,713,152,648,408,708,121,178,107,137,404","41,176,96,569,50,134,13,190,25,358,90,874,78,210,433,189,553,407,59,149,351,53,713,152,648,408,708,121,178,176,137,404",None,1,None,None,310.855,None,None,None,None,18,532,None,0,None,"18,532,87,182,404","532,18,182,87,404",None,0.566,None,"18,532,87,182,404,137,279,24,782,578","532,18,182,87,404,578,137,279,197,648",None,0.454,None,"18,532,87,182,404,137,279,24,782,578,648,407,191,453,26,553,856,197,132,401","532,18,182,87,404,578,137,279,197,648,132,26,782,24,856,407,174,29,553,416",None,0.372,None,"(None, 10, 0)",None,None,"41,176,96,569,50,134,13,190,25,358,90,874,78,210,433,189,553,407,59,149,351,53,713,152,648,408,708,121,178,107,137,404","41,176,96,569,50,134,13,190,25,358,90,874,78,210,433,189,553,407,59,149,351,53,713,152,648,408,708,121,178,107,137,404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_41,sync_176,sync_96,sync_569,sync_50,sync_134,sync_13,sync_190,sync_25,sync_358,sync_90,sync_874,sync_78,sync_210,sync_433,sync_189,sync_553,sync_407,sync_59,sync_149,sync_351,sync_53,sync_713,sync_152,sync_648,sync_408,sync_708,sync_121,sync_178,sync_107,sync_137,sync_404",0,None,None,None,97.387,None,532,532,None,1,"532,18,182,87,404","532,18,182,87,404",None,1.0,"532,18,182,87,404,578,137,279,197,648","532,18,182,87,404,578,137,279,197,648",None,1.0,"532,18,182,87,404,578,137,279,197,648,132,26,782,24,856,407,174,29,553,416","532,18,182,87,404,578,137,279,197,648,132,26,782,24,856,407,174,29,553,416",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
346,genetic,None,"96,61,252,145,669,1230,377,361,275,996,720,41,99,281,945,405,269,653,1099,1117,492,290,207,86,609","96,61,252,445,669,1230,377,361,275,996,720,41,99,281,945,405,269,653,1099,1117,492,290,207,86,609",None,1,None,None,183.852,None,None,None,None,1230,41,None,0,None,"1230,340,270,281,188","41,653,270,262,188",None,0.301,None,"1230,340,270,281,188,653,262,377,269,951","41,653,270,262,188,340,1230,105,1016,405",None,0.273,None,"1230,340,270,281,188,653,262,377,269,951,214,586,105,252,361,642,405,752,628,99","41,653,270,262,188,340,1230,105,1016,405,281,214,176,99,571,1168,891,44,492,269",None,0.221,None,"(None, 10, 0)",None,None,"96,61,252,145,669,1230,377,361,275,996,720,41,99,281,945,405,269,653,1099,1117,492,290,207,86,609","96,61,252,145,669,1230,377,361,275,996,720,41,99,281,945,405,269,653,1099,1117,492,290,207,86,609,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_96,sync_61,sync_252,sync_145,sync_669,sync_1230,sync_377,sync_361,sync_275,sync_996,sync_720,sync_41,sync_99,sync_281,sync_945,sync_405,sync_269,sync_653,sync_1099,sync_1117,sync_492,sync_290,sync_207,sync_86,sync_609",0,None,None,None,33.39,None,41,41,None,1,"41,653,270,262,188","41,653,270,262,188",None,1.0,"41,653,270,262,188,340,1230,105,1016,405","41,653,270,262,188,340,1230,105,1016,405",None,1.0,"41,653,270,262,188,340,1230,105,1016,405,281,214,176,99,571,1168,891,44,492,269","41,653,270,262,188,340,1230,105,1016,405,281,214,176,99,571,1168,891,44,492,269",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
347,genetic,None,"670,493,1427,474,1302,424,170,342,499,263,200,1475,1239,430,412,91,990,780,1170,914,720,667,116,253,682,5,843,185,131,262,326,783,596,553,1160,713,354,396,398,1262,215,256,840,631,1293,1001,1399,610,1449,1099","670,493,1427,474,1302,424,170,342,499,263,200,1475,1239,430,412,91,990,780,1170,914,720,667,116,253,68,5,843,185,131,262,326,783,596,553,1160,713,354,396,398,1262,215,256,840,631,1293,1001,1399,610,1449,1099",None,1,None,None,238.489,None,None,None,None,762,1449,None,0,None,"762,1449,1293,1099,667","1449,762,667,326,1099",None,0.399,None,"762,1449,1293,1099,667,1297,326,398,215,1316","1449,762,667,326,1099,1293,256,215,1162,1316",None,0.4,None,"762,1449,1293,1099,667,1297,326,398,215,1316,1185,840,256,246,290,354,960,1059,1162,595","1449,762,667,326,1099,1293,256,215,1162,1316,840,1167,1297,1185,398,246,290,960,354,595",None,0.387,None,"(None, 10, 0)",None,None,"670,493,1427,474,1302,424,170,342,499,263,200,1475,1239,430,412,91,990,780,1170,914,720,667,116,253,682,5,843,185,131,262,326,783,596,553,1160,713,354,396,398,1262,215,256,840,631,1293,1001,1399,610,1449,1099","670,493,1427,474,1302,424,170,342,499,263,200,1475,1239,430,412,91,990,780,1170,914,720,667,116,253,682,5,843,185,131,262,326,783,596,553,1160,713,354,396,398,1262,215,256,840,631,1293,1001,1399,610,1449,1099","sync_670,sync_493,sync_1427,sync_474,sync_1302,sync_424,sync_170,sync_342,sync_499,sync_263,sync_200,sync_1475,sync_1239,sync_430,sync_412,sync_91,sync_990,sync_780,sync_1170,sync_914,sync_720,sync_667,sync_116,sync_253,sync_682,sync_5,sync_843,sync_185,sync_131,sync_262,sync_326,sync_783,sync_596,sync_553,sync_1160,sync_713,sync_354,sync_396,sync_398,sync_1262,sync_215,sync_256,sync_840,sync_631,sync_1293,sync_1001,sync_1399,sync_610,sync_1449,sync_1099",0,None,None,None,28.78,None,1449,1449,None,1,"1449,762,667,326,1099","1449,762,667,326,1099",None,1.0,"1449,762,667,326,1099,1293,256,215,1162,1316","1449,762,667,326,1099,1293,256,215,1162,1316",None,1.0,"1449,762,667,326,1099,1293,256,215,1162,1316,840,1167,1297,1185,398,246,290,960,354,595","1449,762,667,326,1099,1293,256,215,1162,1316,840,1167,1297,1185,398,246,290,960,354,595",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
348,genetic,None,"1258,276,365,507,481,619,1241,15,104,87,62,835,710,262,7,357,66,1093,979,376,629,231,472,346,54,245,192,1029,865,33,538,119,473,58,136,284,1021,6,726,1178,101,80,314,774,574,173,436,608,699,832","1258,276,365,507,481,619,1241,15,104,87,62,835,710,262,7,357,66,1093,979,376,629,231,472,346,54,245,192,1029,865,33,538,119,473,58,136,284,1021,6,726,1178,101,80,314,774,574,173,436,608,695,832",None,1,None,None,201.753,None,None,None,None,574,459,None,0,None,"574,797,15,314,436","459,629,1033,71,169",None,0.0,None,"574,797,15,314,436,741,1152,147,297,459","459,629,1033,71,169,739,1266,1238,376,573",None,0.022,None,"574,797,15,314,436,741,1152,147,297,459,71,119,1033,295,196,472,475,920,162,339","459,629,1033,71,169,739,1266,1238,376,573,62,528,475,220,297,359,1541,686,254,603",None,0.041,None,"(None, 10, 0)",None,None,"1258,276,365,507,481,619,1241,15,104,87,62,835,710,262,7,357,66,1093,979,376,629,231,472,346,54,245,192,1029,865,33,538,119,473,58,136,284,1021,6,726,1178,101,80,314,774,574,173,436,608,699,832","1258,276,365,507,481,619,1241,15,104,87,62,835,710,262,7,357,66,1093,979,376,629,231,472,346,54,245,192,1029,865,33,538,119,473,58,136,284,1021,6,726,1178,101,80,314,774,574,173,436,608,699,832","sync_1258,sync_276,sync_365,sync_507,sync_481,sync_619,sync_1241,sync_15,sync_104,sync_87,sync_62,sync_835,sync_710,sync_262,sync_7,sync_357,sync_66,sync_1093,sync_979,sync_376,sync_629,sync_231,sync_472,sync_346,sync_54,sync_245,sync_192,sync_1029,sync_865,sync_33,sync_538,sync_119,sync_473,sync_58,sync_136,sync_284,sync_1021,sync_6,sync_726,sync_1178,sync_101,sync_80,sync_314,sync_774,sync_574,sync_173,sync_436,sync_608,sync_699,sync_832",0,None,None,None,59.563,None,459,459,None,1,"459,629,1033,71,169","459,629,1033,71,169",None,1.0,"459,629,1033,71,169,739,1266,1238,376,573","459,629,1033,71,169,739,1266,1238,376,573",None,1.0,"459,629,1033,71,169,739,1266,1238,376,573,62,528,475,220,297,359,1541,686,254,603","459,629,1033,71,169,739,1266,1238,376,573,62,528,475,220,297,359,1541,686,254,603",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
349,genetic,None,"515,1020,56,465,890,608,528,312,585,437,545,751,272,619,276,472,1461,260,1027,858,27,704,9,726,853,265,34,294,16,1055,324,1002,420,550,329,333,469,556,835,461,363,969,924,814,999,389,1101,487,5,767","515,1020,56,465,890,608,528,312,585,437,545,751,272,619,276,472,1461,260,1027,858,27,704,9,726,853,265,34,294,16,1055,324,1002,420,550,329,333,469,545,835,461,363,969,924,814,999,389,1101,487,5,767",None,1,None,None,211.031,None,None,None,None,1059,256,None,0,None,"1059,682,256,215,396","256,1059,682,215,396",None,0.582,None,"1059,682,256,215,396,326,843,1099,354,667","256,1059,682,215,396,326,354,745,223,1099",None,0.502,None,"1059,682,256,215,396,326,843,1099,354,667,223,185,951,253,752,745,116,631,262,5","256,1059,682,215,396,326,354,745,223,1099,1085,843,951,185,253,667,752,631,610,262",None,0.483,None,"(None, 10, 0)",None,None,"515,1020,56,465,890,608,528,312,585,437,545,751,272,619,276,472,1461,260,1027,858,27,704,9,726,853,265,34,294,16,1055,324,1002,420,550,329,333,469,556,835,461,363,969,924,814,999,389,1101,487,5,767","515,1020,56,465,890,608,528,312,585,437,545,751,272,619,276,472,1461,260,1027,858,27,704,9,726,853,265,34,294,16,1055,324,1002,420,550,329,333,469,556,835,461,363,969,924,814,999,389,1101,487,5,767","sync_515,sync_1020,sync_56,sync_465,sync_890,sync_608,sync_528,sync_312,sync_585,sync_437,sync_545,sync_751,sync_272,sync_619,sync_276,sync_472,sync_1461,sync_260,sync_1027,sync_858,sync_27,sync_704,sync_9,sync_726,sync_853,sync_265,sync_34,sync_294,sync_16,sync_1055,sync_324,sync_1002,sync_420,sync_550,sync_329,sync_333,sync_469,sync_556,sync_835,sync_461,sync_363,sync_969,sync_924,sync_814,sync_999,sync_389,sync_1101,sync_487,sync_5,sync_767",0,None,None,None,30.512,None,256,256,None,1,"256,1059,682,215,396","256,1059,682,215,396",None,1.0,"256,1059,682,215,396,326,354,745,223,1099","256,1059,682,215,396,326,354,745,223,1099",None,1.0,"256,1059,682,215,396,326,354,745,223,1099,1085,843,951,185,253,667,752,631,610,262","256,1059,682,215,396,326,354,745,223,1099,1085,843,951,185,253,667,752,631,610,262",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
350,genetic,None,"539,726,84,623,50,187,1386,506,844,32,212,119,486,582,455,604,983,217,92,868,102,796,327,320,222,966,276,700,255,231,227,751,25,146,755,104,305,978,661,1098,483,143,764,432,357,390,568,658,409,242","539,726,84,623,50,187,1386,506,844,32,212,119,486,582,455,604,983,217,92,868,102,796,327,320,222,966,276,700,255,231,227,751,25,146,755,104,305,978,661,1098,483,143,764,432,357,390,568,658,409,432",None,1,None,None,203.289,None,None,None,None,330,92,None,0,None,"330,658,319,97,248","92,658,97,483,255",None,0.299,None,"330,658,319,97,248,241,255,483,368,167","92,658,97,483,255,1157,695,231,90,274",None,0.241,None,"330,658,319,97,248,241,255,483,368,167,695,175,90,92,101,623,231,755,240,322","92,658,97,483,255,1157,695,231,90,274,330,101,906,241,319,623,320,175,167,950",None,0.251,None,"(None, 10, 0)",None,None,"539,726,84,623,50,187,1386,506,844,32,212,119,486,582,455,604,983,217,92,868,102,796,327,320,222,966,276,700,255,231,227,751,25,146,755,104,305,978,661,1098,483,143,764,432,357,390,568,658,409,242","539,726,84,623,50,187,1386,506,844,32,212,119,486,582,455,604,983,217,92,868,102,796,327,320,222,966,276,700,255,231,227,751,25,146,755,104,305,978,661,1098,483,143,764,432,357,390,568,658,409,40","sync_539,sync_726,sync_84,sync_623,sync_50,sync_187,sync_1386,sync_506,sync_844,sync_32,sync_212,sync_119,sync_486,sync_582,sync_455,sync_604,sync_983,sync_217,sync_92,sync_868,sync_102,sync_796,sync_327,sync_320,sync_222,sync_966,sync_276,sync_700,sync_255,sync_231,sync_227,sync_751,sync_25,sync_146,sync_755,sync_104,sync_305,sync_978,sync_661,sync_1098,sync_483,sync_143,sync_764,sync_432,sync_357,sync_390,sync_568,sync_658,sync_409,add_40,del_242",1,None,None,None,135.019,None,823,92,None,0,"823,575,330,274,950","92,658,97,483,255",None,0.0,"823,575,330,274,950,489,227,175,110,241","92,658,97,483,255,1157,695,231,90,274",None,0.009,"823,575,330,274,950,489,227,175,110,241,424,937,106,623,519,658,94,375,327,92","92,658,97,483,255,1157,695,231,90,274,330,101,906,241,319,623,320,175,167,950",None,0.047,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
351,genetic,None,"492,2,347,61,158,752,281,569,44,864,653,140,86,1258,269,96,1024,105,270,253,332","492,2,347,61,158,757,281,569,44,864,653,140,86,1258,269,96,1024,105,270,253,332",None,1,None,None,176.08,None,None,None,None,253,1024,None,0,None,"253,970,1024,682,96","1024,253,931,970,682",None,0.334,None,"253,970,1024,682,96,931,340,737,145,118","1024,253,931,970,682,118,1167,815,270,145",None,0.292,None,"253,970,1024,682,96,931,340,737,145,118,270,815,926,275,1167,269,361,190,405,732","1024,253,931,970,682,118,1167,815,270,145,131,340,96,951,214,361,117,732,275,332",None,0.261,None,"(None, 10, 0)",None,None,"492,2,347,61,158,752,281,569,44,864,653,140,86,1258,269,96,1024,105,270,253,332","492,2,347,61,158,752,281,569,44,864,653,140,86,1258,269,96,1024,105,270,253,332,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_492,sync_2,sync_347,sync_61,sync_158,sync_752,sync_281,sync_569,sync_44,sync_864,sync_653,sync_140,sync_86,sync_1258,sync_269,sync_96,sync_1024,sync_105,sync_270,sync_253,sync_332",0,None,None,None,99.349,None,1024,1024,None,1,"1024,253,931,970,682","1024,253,931,970,682",None,1.0,"1024,253,931,970,682,118,1167,815,270,145","1024,253,931,970,682,118,1167,815,270,145",None,1.0,"1024,253,931,970,682,118,1167,815,270,145,131,340,96,951,214,361,117,732,275,332","1024,253,931,970,682,118,1167,815,270,145,131,340,96,951,214,361,117,732,275,332",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
352,genetic,None,"244,290,653,158,41,752,569,44,118,252,401,74,643,5,2,1252,140,31,1415,357,146,453,378,424,178,903,843","244,290,653,158,41,752,567,44,118,252,401,74,643,5,2,1252,140,31,1415,357,146,453,378,424,178,903,843",None,1,None,None,186.478,None,None,None,None,202,563,None,0,None,"202,563,623,819,453","563,202,623,819,453",None,0.723,None,"202,563,623,819,453,409,951,348,162,492","563,202,623,819,453,951,2,131,162,242",None,0.575,None,"202,563,623,819,453,409,951,348,162,492,240,131,99,1388,95,242,357,218,82,2","563,202,623,819,453,951,2,131,162,242,1388,240,99,218,409,270,348,492,357,289",None,0.485,None,"(None, 10, 0)",None,None,"244,290,653,158,41,752,569,44,118,252,401,74,643,5,2,1252,140,31,1415,357,146,453,378,424,178,903,843","244,290,653,158,41,752,569,44,118,252,401,74,643,5,2,1252,140,31,1415,357,146,453,378,424,178,903,843,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_244,sync_290,sync_653,sync_158,sync_41,sync_752,sync_569,sync_44,sync_118,sync_252,sync_401,sync_74,sync_643,sync_5,sync_2,sync_1252,sync_140,sync_31,sync_1415,sync_357,sync_146,sync_453,sync_378,sync_424,sync_178,sync_903,sync_843",0,None,None,None,1.795,None,563,563,None,1,"563,202,623,819,453","563,202,623,819,453",None,1.0,"563,202,623,819,453,951,2,131,162,242","563,202,623,819,453,951,2,131,162,242",None,1.0,"563,202,623,819,453,951,2,131,162,242,1388,240,99,218,409,270,348,492,357,289","563,202,623,819,453,951,2,131,162,242,1388,240,99,218,409,270,348,492,357,289",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
